,0,1
0,COCO-Detection/faster_rcnn_R_50_C4_1x.yaml,['res4']
1,COCO-Detection/faster_rcnn_R_50_DC5_1x.yaml,['res5']
2,COCO-Detection/faster_rcnn_R_50_FPN_1x.yaml,"['res2', 'res3', 'res4', 'res5', 'p6', 'p5', 'p4', 'p3', 'p2']"
3,COCO-Detection/faster_rcnn_R_50_C4_3x.yaml,['res4']
4,COCO-Detection/faster_rcnn_R_50_DC5_3x.yaml,['res5']
5,COCO-Detection/faster_rcnn_R_50_FPN_3x.yaml,"['res2', 'res3', 'res4', 'res5', 'p6', 'p5', 'p4', 'p3', 'p2']"
6,COCO-Detection/faster_rcnn_R_101_C4_3x.yaml,['res4']
7,COCO-Detection/faster_rcnn_R_101_DC5_3x.yaml,['res5']
8,COCO-Detection/faster_rcnn_R_101_FPN_3x.yaml,"['res2', 'res3', 'res4', 'res5', 'p6', 'p5', 'p4', 'p3', 'p2']"
9,COCO-Detection/faster_rcnn_X_101_32x8d_FPN_3x.yaml,"['res2', 'res3', 'res4', 'res5', 'p6', 'p5', 'p4', 'p3', 'p2']"
10,COCO-Detection/retinanet_R_50_FPN_1x.yaml,"['res3', 'res4', 'res5', 'p7', 'p6', 'p5', 'p4', 'p3']"
11,COCO-Detection/retinanet_R_50_FPN_3x.yaml,"['res3', 'res4', 'res5', 'p7', 'p6', 'p5', 'p4', 'p3']"
12,COCO-Detection/retinanet_R_101_FPN_3x.yaml,"['res3', 'res4', 'res5', 'p7', 'p6', 'p5', 'p4', 'p3']"
13,COCO-Detection/rpn_R_50_C4_1x.yaml,['res4']
14,COCO-Detection/rpn_R_50_FPN_1x.yaml,"['res2', 'res3', 'res4', 'res5', 'p6', 'p5', 'p4', 'p3', 'p2']"
15,COCO-Detection/fast_rcnn_R_50_FPN_1x.yaml,"['res2', 'res3', 'res4', 'res5', 'p6', 'p5', 'p4', 'p3', 'p2']"
16,COCO-InstanceSegmentation/mask_rcnn_R_50_C4_1x.yaml,['res4']
17,COCO-InstanceSegmentation/mask_rcnn_R_50_DC5_1x.yaml,['res5']
18,COCO-InstanceSegmentation/mask_rcnn_R_50_FPN_1x.yaml,"['res2', 'res3', 'res4', 'res5', 'p6', 'p5', 'p4', 'p3', 'p2']"
